index,Style,Category,Size,Qty
770,SET121,Set,XS,0
771,J0003,Set,L,1
772,J0202,Top,XXL,1
773,J0014,Set,S,1
774,SET291,Set,XXL,1
775,JNE3405,kurta,XXL,1
776,JNE3396,kurta,XL,1
777,JNE3609,kurta,XXL,1
778,JNE3405,kurta,XXL,1
779,JNE3775,kurta,S,1
780,J0341,Western Dress,L,1
781,J0003,Set,XL,1
782,J0301,Top,XXL,1
783,JNE3659,Top,L,0
784,JNE3652,Top,L,1
785,SET192,Set,3XL,1
786,SET183,Set,S,1
787,SET345,Set,M,1
788,JNE3440,kurta,L,1
789,J0336,Top,3XL,1
790,JNE3405,kurta,3XL,1
791,SET187,Set,M,1
792,JNE3775,kurta,S,1
793,JNE3409,kurta,S,1
794,SET345,Set,S,1
795,JNE3715,kurta,S,1
796,JNE3797,Western Dress,XS,1
797,JNE1998,kurta,S,1
798,JNE2270,kurta,XL,1
799,JNE3405,kurta,L,1
800,SET347,Set,XS,1
801,SET200,Set,3XL,1
802,JNE3800,Western Dress,XL,1
803,J0228,Set,S,1
804,J0119,Top,XXL,1
805,J0230,Set,M,1
806,JNE2270,kurta,M,1
807,SET398,Set,3XL,1
808,J0230,Set,XXL,1
809,JNE3405,kurta,3XL,1
810,JNE3562,kurta,XL,1
811,JNE3818,kurta,M,1
812,JNE3712,Top,M,1
813,JNE3465,kurta,XXL,1
814,JNE3423,kurta,XL,1
815,SET388,Set,L,1
816,J0023,Top,XXL,1
817,SET347,Set,S,1
818,JNE2032,kurta,3XL,0
819,JNE3560,kurta,L,1
820,J0230,Set,L,0
821,JNE3706,Western Dress,L,1
822,SET268,Set,L,1
823,SET398,Set,XS,1
824,J0294,Top,XS,1
825,PJNE3068,kurta,6XL,0
826,J0095,Set,XXL,1
827,JNE3463,kurta,L,1
828,JNE3546,kurta,L,1
829,JNE3764,kurta,XL,1
830,SET331,Set,3XL,1
831,J0278,Set,3XL,1
832,SET319,Set,3XL,1
833,J0117,Top,S,1
834,JNE2153,kurta,XL,0
835,JNE3870,Western Dress,XL,1
836,JNE3784,kurta,L,1
837,SET287,Set,M,1
838,JNE3567,kurta,L,1
839,J0372,Set,M,1
840,JNE2014,kurta,XL,1
841,J0139,kurta,3XL,1
842,J0097,kurta,3XL,1
843,J0372,Set,M,0
844,JNE3399,kurta,XL,1
845,SET182,Set,3XL,1
846,SET345,Set,M,1
847,J0372,Set,M,0
848,J0415,Western Dress,L,1
849,SET304,Set,XL,0
850,SET331,Set,M,1
851,SET356,Set,XXL,1
852,SET110,Set,XS,1
853,JNE3614,kurta,M,1
854,SET397,Set,M,1
855,SET345,Set,XXL,1
856,J0343,Western Dress,XXL,0
857,JNE3614,kurta,M,0
858,JNE3721,kurta,XXL,1
859,JNE3722,kurta,L,1
860,JNE3480,kurta,M,1
861,SET014,Set,M,1
862,JNE3510,kurta,XL,1
863,JNE3784,kurta,L,1
864,JNE3800,Western Dress,M,0
865,MEN5007,kurta,M,1
866,SET110,Set,S,1
867,J0339,Western Dress,XL,1
868,JNE3784,kurta,3XL,1
869,PJNE3368,kurta,6XL,1
870,SET398,Set,XXL,1
871,SET331,Set,L,1
872,J0301,Top,M,1
873,JNE3368,kurta,3XL,1
874,SET345,Set,M,1
875,JNE3405,kurta,XL,1
876,SET110,Set,L,1
877,JNE3894,Top,M,1
878,JNE3543,kurta,XL,1
879,J0341,Western Dress,M,1
880,JNE3405,kurta,L,1
881,MEN5027,kurta,XL,1
882,MEN5006,kurta,XL,1
883,JNE3806,kurta,L,1
884,JNE3870,Western Dress,3XL,1
885,SET268,Set,XS,1
886,JNE3465,kurta,XXL,1
887,SET324,Set,L,1
888,J0341,Western Dress,M,1
889,SET349,Set,XS,1
890,JNE3465,kurta,XL,1
891,J0343,Western Dress,XL,1
892,J0167,kurta,S,0
893,MEN5021,kurta,M,1
894,SET291,Set,M,1
895,MEN5031,kurta,S,1
896,SET345,Set,XL,1
